title,productor
"Wild Wild West","Todman, Simon, LeMasters Productions"
"Wild Wild West","Warner Bros."
"Wild Wild West","Peters Entertainment"
"Wild Wild West","Sonnenfeld Josephson Worldwide Entertainment"
"Suicide Squad","DC Comics"
"Suicide Squad","Dune Entertainment"
"Suicide Squad","Atlas Entertainment"
"Suicide Squad","Warner Bros."
"Suicide Squad","DC Entertainment"
"Evan Almighty","Columbia Pictures"
"Evan Almighty","Universal Pictures"
"Evan Almighty","Spyglass Entertainment"
"Evan Almighty","Shady Acres Entertainment"
"Evan Almighty","Original Film"
"Evan Almighty","Playtone"
"Evan Almighty","Relativity Media"
"Edge of Tomorrow","Village Roadshow Pictures"
"Edge of Tomorrow","Warner Bros."
"Edge of Tomorrow","Viz Media"
"Edge of Tomorrow","Province of British Columbia Production Services Tax Credit"
"Edge of Tomorrow","3 Arts Entertainment"
"Edge of Tomorrow","RatPac-Dune Entertainment"
"Waterworld","Universal Pictures"
"Waterworld","Gordon Company"
"Waterworld","Davis Entertainment"
"Waterworld","Licht/Mueller Film Corporation"
"Inside Out","Walt Disney Pictures"
"Inside Out","Pixar Animation Studios"
"The Jungle Book","Walt Disney Pictures"
"The Jungle Book","Walt Disney Studios Motion Pictures"
"The Jungle Book","Fairview Entertainment"
"The Jungle Book","Moving Picture Company (MPC)"
"Iron Man 2","Marvel Studios"
"Snow White and the Huntsman","Universal Pictures"
"Snow White and the Huntsman","Roth Films"
"Maleficent","Walt Disney Pictures"
"Maleficent","Walt Disney Studios Motion Pictures"
"Maleficent","Roth Films"
"Dawn of the Planet of the Apes","Ingenious Media"
"Dawn of the Planet of the Apes","Chernin Entertainment"
"Dawn of the Planet of the Apes","TSG Entertainment"
"The Lovers","Corsan"
"The Lovers","Bliss Media"
"The Lovers","Limelight International Media Entertainment"
"The Lovers","Neelmudra Entertainment"
"The Lovers","Aristos Films"
"The Lovers","Singularity Productions"
"The Lovers","Wildkite"
"47 Ronin","Mid Atlantic Films"
"47 Ronin","Stuber Productions"
"47 Ronin","Universal"
"47 Ronin","Moving Picture Company (MPC)"
"47 Ronin","H2F Entertainment"
"Shrek Forever After","DreamWorks Animation"
"Tomorrowland","Walt Disney Pictures"
"Tomorrowland","Babieka"
"Tomorrowland","A113"
"Big Hero 6","Walt Disney Pictures"
"Big Hero 6","Walt Disney Animation Studios"
"Wreck-It Ralph","Walt Disney Animation Studios"
"The Polar Express","Golden Mean"
"The Polar Express","Playtone"
"The Polar Express","ImageMovers"
"How to Train Your Dragon","DreamWorks Animation"
"How to Train Your Dragon","Vertigo Entertainment"
"How to Train Your Dragon","Mad Hatter Entertainment"
"Guardians of the Galaxy","Marvel Studios"
"Guardians of the Galaxy","Moving Picture Company (MPC)"
"Guardians of the Galaxy","Bulletproof Cupid"
"Guardians of the Galaxy","Revolution Sun Studios"
"Interstellar","Paramount Pictures"
"Interstellar","Legendary Pictures"
"Interstellar","Warner Bros."
"Interstellar","Syncopy"
"Interstellar","Lynda Obst Productions"
"Inception","Legendary Pictures"
"Inception","Warner Bros."
"Inception","Syncopy"
"The Fast and the Furious","Universal Pictures"
"The Fast and the Furious","Original Film"
"The Fast and the Furious","Ardustry Entertainment"
"The Fast and the Furious","Mediastream Film GmbH & Co. Productions KG"
"The Curious Case of Benjamin Button","Paramount Pictures"
"The Curious Case of Benjamin Button","Warner Bros."
"The Curious Case of Benjamin Button","Kennedy/Marshall Company, The"
"The Sorcerer's Apprentice","Walt Disney Pictures"
"The Sorcerer's Apprentice","Jerry Bruckheimer Films"
"The Sorcerer's Apprentice","Saturn Films"
"The Sorcerer's Apprentice","Broken Road Productions"
"The Sorcerer's Apprentice","Junction Entertainment"
"Poseidon","Virtual Studios"
"Poseidon","Next Entertainment"
"Poseidon","Warner Bros."
"Poseidon","Irwin Allen Productions"
"Poseidon","Radiant Productions"
"Poseidon","Synthesis Entertainment"
"Alice Through the Looking Glass","Walt Disney Pictures"
"Alice Through the Looking Glass","Team Todd"
"Alice Through the Looking Glass","Tim Burton Productions"
"Alice Through the Looking Glass","Roth Films"
"Alice Through the Looking Glass","Legend3D"
"Shrek the Third","DreamWorks SKG"
"Shrek the Third","DreamWorks Animation"
"Warcraft","Universal Pictures"
"Warcraft","Atlas Entertainment"
"Warcraft","Legendary Pictures"
"Warcraft","Blizzard Entertainment"
"Terminator Genisys","Paramount Pictures"
"Terminator Genisys","Annapurna Pictures"
"Terminator Genisys","Skydance Media"
"Pearl Harbor","Jerry Bruckheimer Films"
"Pearl Harbor","Touchstone Pictures"
"Transformers","Paramount Pictures"
"Transformers","DreamWorks SKG"
"Transformers","Amblin Entertainment"
"Transformers","Di Bonaventura Pictures"
"Transformers","Platinum Dunes"
"Transformers","thinkfilm"
"Transformers","SprocketHeads"
"Transformers","Hasbro Studios"
"Transformers","Revolution Sun Studios"
"Alexander","France 3 Cinéma"
"Alexander","Intermedia Films"
"Alexander","Pathé Renn Productions"
"Alexander","Egmond Film & Television"
"Alexander","Warner Bros."
"Alexander","Pacifica Film"
"Alexander","IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
"Alexander","WR Universal Group"
"Harry Potter and the Order of the Phoenix","Warner Bros."
"Harry Potter and the Order of the Phoenix","Heyday Films"
"Harry Potter and the Goblet of Fire","Patalex IV Productions Limited"
"Harry Potter and the Goblet of Fire","Warner Bros."
"Harry Potter and the Goblet of Fire","Heyday Films"
"Hancock","Columbia Pictures"
"Hancock","Weed Road Pictures"
"Hancock","Forward Pass"
"Hancock","Relativity Media"
"Hancock","Overbrook Entertainment"
"Hancock","Blue Light"
"Hancock","GH Three"
"I Am Legend","Village Roadshow Pictures"
"I Am Legend","Original Film"
"I Am Legend","Weed Road Pictures"
"I Am Legend","Warner Bros."
"I Am Legend","Heyday Films"
"I Am Legend","Overbrook Entertainment"
"Charlie and the Chocolate Factory","Village Roadshow Pictures"
"Charlie and the Chocolate Factory","The Zanuck Company"
"Charlie and the Chocolate Factory","Warner Bros."
"Charlie and the Chocolate Factory","Tim Burton Productions"
"Charlie and the Chocolate Factory","Plan B Entertainment"
"Charlie and the Chocolate Factory","Theobald Film Productions"
"Ratatouille","Walt Disney Pictures"
"Ratatouille","Pixar Animation Studios"
"Batman Begins","DC Comics"
"Batman Begins","Legendary Pictures"
"Batman Begins","Warner Bros."
"Batman Begins","DC Entertainment"
"Batman Begins","Syncopy"
"Batman Begins","Patalex III Productions Limited"
"The Matrix Revolutions","Village Roadshow Pictures"
"The Matrix Revolutions","NPV Entertainment"
"The Matrix Revolutions","Silver Pictures"
"The Matrix Revolutions","Warner Bros."
"Frozen","Walt Disney Pictures"
"Frozen","Walt Disney Animation Studios"
"The Matrix Reloaded","Village Roadshow Pictures"
"The Matrix Reloaded","NPV Entertainment"
"The Matrix Reloaded","Heineken Branded Entertainment"
"The Matrix Reloaded","Silver Pictures"
"The Matrix Reloaded","Warner Bros."
"Angels & Demons","Columbia Pictures"
"Angels & Demons","Imagine Entertainment"
"Angels & Demons","Panorama Films"
"Angels & Demons","Skylark Productions"
"Thor","Marvel Studios"
"Bolt","Walt Disney Animation Studios"
"G-Force","Walt Disney Pictures"
"G-Force","Jerry Bruckheimer Films"
"G-Force","Whamaphram Productions"
"Wrath of the Titans","Legendary Pictures"
"Wrath of the Titans","Thunder Road Pictures"
"Wrath of the Titans","Warner Bros."
"Wrath of the Titans","Cott Productions"
"Wrath of the Titans","Furia de Titanes II, A.I.E."
"Dark Shadows","Village Roadshow Pictures"
"Dark Shadows","Infinitum Nihil"
"Dark Shadows","GK Films"
"Dark Shadows","Warner Bros."
"Dark Shadows","Tim Burton Productions"
"Dark Shadows","Dan Curtis Productions"
"Dark Shadows","Zanuck Company, The"
"The Wolfman","Universal Pictures"
"The Wolfman","Stuber Productions"
"The Wolfman","Relativity Media"
"Bee Movie","Pacific Data Images (PDI)"
"Bee Movie","DreamWorks Animation"
"Bee Movie","Columbus 81 Productions"
"Kung Fu Panda 2","DreamWorks Animation"
"The Last Airbender","Paramount Pictures"
"The Last Airbender","Nickelodeon Movies"
"The Last Airbender","Kennedy/Marshall Company, The"
"The Last Airbender","Industrial Light & Magic (ILM)"
"The Last Airbender","Blinding Edge Pictures"
"White House Down","Columbia Pictures"
"White House Down","Centropolis Entertainment"
"White House Down","Iron Horse Entertainment (II)"
"White House Down","Mythology Entertainment (II)"
"Mars Needs Moms","Walt Disney Animation Studios"
"Flushed Away","Aardman Animations"
"Flushed Away","DreamWorks Animation"
"Pan","Warner Bros."
"Pan","Moving Picture Company (MPC)"
"Pan","Berlanti Productions"
"Pan","RatPac-Dune Entertainment"
"Mr. Peabody & Sherman","Pacific Data Images (PDI)"
"Mr. Peabody & Sherman","DreamWorks Animation"
"Mr. Peabody & Sherman","Classic Media Productions"
"Mr. Peabody & Sherman","Bullwinkle Studios"
"Troy","Plan B Entertainment"
"Troy","Warner Bros."
"Troy","Nimar Studios"
"Troy","Radiant Productions"
"Troy","Helena Productions"
"Troy","Latina Pictures"
"Die Another Day","Eon Productions"
"Ghostbusters","Columbia Pictures"
"Ghostbusters","Village Roadshow Pictures"
"Ghostbusters","Montecito Picture Company, The"
"Ghostbusters","LStar Capital"
"Ghostbusters","Feigco Entertainment"
"Ghostbusters","Pascal Pictures"
"Ghostbusters","Ghostcorps"
"Armageddon","Jerry Bruckheimer Films"
"Armageddon","Touchstone Pictures"
"Armageddon","Valhalla Motion Pictures"
"Men in Black II","Columbia Pictures"
"Men in Black II","Amblin Entertainment"
"Men in Black II","Columbia Pictures Corporation"
"Men in Black II","Parkes+MacDonald Image Nation"
"Beowulf","Paramount Pictures"
"Beowulf","Shangri-La Entertainment"
"Beowulf","ImageMovers"
"Beowulf","Paramount Animation"
"Kung Fu Panda 3","Twentieth Century Fox Film Corporation"
"Kung Fu Panda 3","DreamWorks Animation"
"Kung Fu Panda 3","China Film Co."
"Kung Fu Panda 3","Oriental DreamWorks"
"Rise of the Guardians","DreamWorks Animation"
"Fun with Dick and Jane","Imagine Entertainment"
"Fun with Dick and Jane","Columbia Pictures Corporation"
"Fun with Dick and Jane","JC 23 Entertainment"
"The Last Samurai","Cruise/Wagner Productions"
"The Last Samurai","Warner Bros."
"The Last Samurai","Radar Pictures"
"The Last Samurai","Bedford Falls Company, The"
"Star Trek","Paramount Pictures"
"Star Trek","Spyglass Entertainment"
"Star Trek","Bad Robot"
"Star Trek","MavroCine Pictures GmbH & Co. KG"
"Spider-Man","Columbia Pictures"
"Spider-Man","Marvel Enterprises"
"How to Train Your Dragon 2","DreamWorks Animation"
"How to Train Your Dragon 2","Mad Hatter Entertainment"
"Gods of Egypt","Summit Entertainment"
"Gods of Egypt","Mystery Clock Cinema"
"Gods of Egypt","Thunder Road Pictures"
"Gods of Egypt","TIK Films"
"Gods of Egypt","Pyramania"
"Stealth","Laura Ziskin Productions"
"Stealth","Original Film"
"Stealth","Columbia Pictures Corporation"
"Stealth","Phoenix Pictures"
"Stealth","AFG Talons Productions"
"Watchmen","Paramount Pictures"
"Watchmen","DC Comics"
"Watchmen","Lawrence Gordon Productions"
"Watchmen","Legendary Pictures"
"Watchmen","Warner Bros."
"Watchmen","Cruel and Unusual Films"
"Lethal Weapon 4","Silver Pictures"
"Lethal Weapon 4","Donner/Shuler-Donner Productions"
"Lethal Weapon 4","Warner Bros."
"Hulk","Universal Pictures"
"Hulk","Good Machine"
"Hulk","Valhalla Motion Pictures"
"Hulk","Marvel Enterprises"
"Sahara","Paramount Pictures"
"Sahara","Bristol Bay Productions"
"Sahara","Baldwin Entertainment Group"
"Sahara","Desertlands Entertainment"
"Sahara","Mace Neufeld Productions"
"Sahara","Kanzaman"
"Sahara","J.K. Livin Productions"
"Sahara","Moguletta"
"Sahara","Sahara Productions"
"Sahara","Babelsberg Film"
"The World Is Not Enough","Eon Productions"
"The World Is Not Enough","Metro-Goldwyn-Mayer (MGM)"
"Happy Feet Two","Village Roadshow Pictures"
"Happy Feet Two","Warner Bros."
"Happy Feet Two","Dr D Studios"
"Happy Feet Two","Kennedy Miller Mitchell"
"The Incredible Hulk","Universal Pictures"
"The Incredible Hulk","Marvel Studios"
"The Incredible Hulk","Valhalla Motion Pictures"
"The Incredible Hulk","MVL Incredible Productions"
"The BFG","Walt Disney Pictures"
"The BFG","Amblin Entertainment"
"The BFG","Reliance Entertainment"
"The BFG","Kennedy/Marshall Company, The"
"The BFG","Walden Media"
"The Revenant","Regency Enterprises"
"The Revenant","Appian Way"
"The Revenant","CatchPlay"
"The Revenant","Anonymous Content"
"The Revenant","New Regency Pictures"
"The Revenant","Hong Kong Alpha Motion Pictures Co."
"The Revenant","RatPac Entertainment"
"The Revenant","M Productions"
"The Revenant","Monarchy Enterprises S.a.r.l."
"Turbo","DreamWorks Animation"
"Rango","Paramount Pictures"
"Rango","Nickelodeon Movies"
"Rango","GK Films"
"Rango","Blind Wink"
"Rango","Paramount Animation"
"Penguins of Madagascar","DreamWorks Animation"
"The Bourne Ultimatum","Universal Pictures"
"The Bourne Ultimatum","The Kennedy/Marshall Company"
"The Bourne Ultimatum","Ludlum Entertainment"
"The Bourne Ultimatum","Motion Picture BETA Produktionsgesellschaft"
"The Bourne Ultimatum","Bourne Again"
"Kung Fu Panda","DreamWorks Animation"
"Ant-Man","Marvel Studios"
"Home","Twentieth Century Fox Film Corporation"
"Home","DreamWorks Animation"
"War of the Worlds","Paramount Pictures"
"War of the Worlds","DreamWorks SKG"
"War of the Worlds","Cruise/Wagner Productions"
"War of the Worlds","Amblin Entertainment"
"Bad Boys II","Columbia Pictures Corporation"
"Bad Boys II","Don Simpson/Jerry Bruckheimer Films"
"Puss in Boots","DreamWorks"
"Salt","Columbia Pictures"
"Salt","Di Bonaventura Pictures"
"Salt","Relativity Media"
"Salt","Wintergreen Productions"
"Noah","Paramount Pictures"
"Noah","Regency Enterprises"
"Noah","Protozoa Pictures"
"Noah","Disruption Entertainment"
"The Adventures of Tintin","Paramount Pictures"
"The Adventures of Tintin","Columbia Pictures"
"The Adventures of Tintin","WingNut Films"
"The Adventures of Tintin","Amblin Entertainment"
"The Adventures of Tintin","Nickelodeon Movies"
"The Adventures of Tintin","Kennedy/Marshall Company, The"
"The Adventures of Tintin","Hemisphere Media Capital"
"Harry Potter and the Prisoner of Azkaban","1492 Pictures"
"Harry Potter and the Prisoner of Azkaban","Heyday films"
"Harry Potter and the Prisoner of Azkaban","Warner Bros."
"Australia","Bazmark Films"
"Australia","Ingenious Film Partners"
"Australia","Twentieth Century Fox Film Corporation"
"Australia","Dune Entertainment III"
"Australia","ScreenWest"
"After Earth","Columbia Pictures"
"After Earth","Blinding Edge Pictures"
"After Earth","Overbrook Entertainment"
"Dinosaur","Walt Disney Pictures"
"Dinosaur","Walt Disney Feature Animation"
"Megamind","DreamWorks Animation"
"Harry Potter and the Philosopher's Stone","1492 Pictures"
"Harry Potter and the Philosopher's Stone","Warner Bros."
"Harry Potter and the Philosopher's Stone","Heyday Films"
"R.I.P.D.","Universal Pictures"
"R.I.P.D.","Original Film"
"R.I.P.D.","Dark Horse Entertainment"
"The Da Vinci Code","Columbia Pictures"
"The Da Vinci Code","Imagine Entertainment"
"The Da Vinci Code","Skylark Productions"
"The Da Vinci Code","Government of Malta"
"Rio 2","Blue Sky Studios"
"Rio 2","Twentieth Century Fox Animation"
"X2","Twentieth Century Fox Film Corporation"
"X2","Donners' Company"
"X2","Bad Hat Harry Productions"
"X2","Marvel Enterprises"
"X2","XM2 Productions"
"X2","XF2 Canada Productions"
"Fast Five","Universal Pictures"
"Fast Five","Original Film"
"Fast Five","One Race Productions"
"Clash of the Titans","The Zanuck Company"
"Clash of the Titans","Legendary Pictures"
"Clash of the Titans","Thunder Road Pictures"
"Clash of the Titans","Warner Bros."
"Clash of the Titans","Moving Picture Company (MPC)"
"Total Recall","TriStar Pictures"
"Total Recall","Carolco Pictures"
"Total Recall","Carolco International N.V."
"The 13th Warrior","Touchstone Pictures"
"The Bourne Legacy","Universal Pictures"
"The Bourne Legacy","Dentsu"
"The Bourne Legacy","Relativity Media"
"The Bourne Legacy","Kennedy/Marshall Company, The"
"The Bourne Legacy","Captivate Entertainment"
"Batman & Robin","PolyGram Filmed Entertainment"
"Batman & Robin","Warner Bros."
"How the Grinch Stole Christmas","Imagine Entertainment"
"How the Grinch Stole Christmas","Universal Pictures"
"The Day After Tomorrow","Lions Gate Films"
"The Day After Tomorrow","Twentieth Century Fox Film Corporation"
"The Day After Tomorrow","Centropolis Entertainment"
"The Day After Tomorrow","Mark Gordon Productions"
"The Day After Tomorrow","Mel's Cite du Cinema"
"The Perfect Storm","Warner Bros."
"The Perfect Storm","Baltimore Spring Creek Productions"
"The Perfect Storm","Radiant Productions"
"Life of Pi","Ingenious Film Partners"
"Life of Pi","Ingenious Media"
"Life of Pi","Dune Entertainment"
"Life of Pi","Fox 2000 Pictures"
"Life of Pi","Big Screen Productions"
"Life of Pi","Haishang Films"
"Ghost Rider","Columbia Pictures Corporation"
"Ghost Rider","Relativity Media"
"Ghost Rider","Michael De Luca Productions"
"Ghost Rider","Marvel Enterprises"
"Ghost Rider","Crystal Sky Pictures"
"Ghost Rider","GH One"
"Ghost Rider","Vengeance Productions Pty. Ltd."
"Jason Bourne","The Kennedy/Marshall Company"
"Jason Bourne","Captivate Entertainment"
"Jason Bourne","Pearl Street Films"
"Jason Bourne","Double Negative"
"Jason Bourne","Perfect World (Beijing) Pictures Co."
"Prometheus","Twentieth Century Fox Film Corporation"
"Prometheus","Dune Entertainment"
"Prometheus","Scott Free Productions"
"Prometheus","Brandywine Productions"
"Stuart Little 2","Columbia Pictures"
"Stuart Little 2","Sony Pictures Entertainment"
"Elysium","TriStar Pictures"
"Elysium","Media Rights Capital"
"Elysium","Sony Pictures Entertainment (SPE)"
"Elysium","QED International"
"Elysium","Alpha Core"
"Elysium","Genre Films"
"Elysium","Simon Kinberg Productions"
"The Chronicles of Riddick","One Race Films"
"The Chronicles of Riddick","Radar Pictures"
"RoboCop","Columbia Pictures"
"RoboCop","Strike Entertainment"
"RoboCop","Metro-Goldwyn-Mayer (MGM)"
"Speed Racer","Village Roadshow Pictures"
"Speed Racer","Studio Babelsberg"
"Speed Racer","Anarchos Productions"
"Speed Racer","Silver Pictures"
"Speed Racer","Warner Bros."
"Speed Racer","Velocity Productions"
"How Do You Know","Columbia Pictures"
"How Do You Know","Gracie Films"
"How Do You Know","Road Rebel"
"Knight and Day","Tree Line Films"
"Knight and Day","Twentieth Century Fox Film Corporation"
"Knight and Day","Dune Entertainment"
"Knight and Day","Regency Enterprises"
"Knight and Day","Pink Machine"
"Oblivion","Universal Pictures"
"Oblivion","Chernin Entertainment"
"Oblivion","Relativity Media"
"Oblivion","Monolith Pictures (III)"
"Oblivion","Radical Studios"
"Monsters, Inc.","Walt Disney Pictures"
"Monsters, Inc.","Pixar Animation Studios"
"The Wolverine","Twentieth Century Fox Film Corporation"
"The Wolverine","Donners' Company"
"The Wolverine","Marvel Entertainment"
"The Wolverine","Bad Hat Harry Productions"
"The Wolverine","Big Screen Productions"
"The Wolverine","TSG Entertainment"
"The Croods","DreamWorks Animation"
"Windtalkers","Lion Rock Productions"
"Windtalkers","Metro-Goldwyn-Mayer (MGM)"
"Teenage Mutant Ninja Turtles","Paramount Pictures"
"Teenage Mutant Ninja Turtles","Nickelodeon Movies"
"Teenage Mutant Ninja Turtles","Platinum Dunes"
"Gravity","Warner Bros."
"Gravity","Heyday Films"
"Gravity","Esperanto Filmoj"
"Dante's Peak","Universal Pictures"
"Dante's Peak","Pacific Western"
"Fantastic Four","Twentieth Century Fox Film Corporation"
"Fantastic Four","Marv Films"
"Fantastic Four","Marvel Entertainment"
"Fantastic Four","Constantin Film."
"Fantastic Four","Moving Picture Company (MPC)"
"Fantastic Four","TSG Entertainment"
"Fantastic Four","Genre Films"
"Night at the Museum","Ingenious Film Partners"
"Night at the Museum","Twentieth Century Fox Film Corporation"
"Night at the Museum","1492 Pictures"
"Night at the Museum","21 Laps Entertainment"
"San Andreas","New Line Cinema"
"San Andreas","Village Roadshow Pictures"
"San Andreas","Warner Bros."
"San Andreas","Flynn Picture Company"
"Tomorrow Never Dies","Eon Productions"
"The Patriot","Centropolis Entertainment"
"The Patriot","Columbia Pictures Corporation"
"The Patriot","Mutual Film Company"
"The Patriot","Global Entertainment Productions GmbH & Company Medien KG"
"Ocean's Twelve","Village Roadshow Pictures"
"Ocean's Twelve","Section Eight"
"Ocean's Twelve","Jerry Weintraub Productions"
"Ocean's Twelve","Warner Bros."
"Ocean's Twelve","WV Films III"
"Mr. & Mrs. Smith","Weed Road Pictures"
"Mr. & Mrs. Smith","Summit Entertainment"
"Mr. & Mrs. Smith","Regency Enterprises"
"Mr. & Mrs. Smith","Epsilon Motion Pictures"
"Mr. & Mrs. Smith","New Regency Pictures"
"Insurgent","Summit Entertainment"
"Insurgent","Mandeville Films"
"Insurgent","Red Wagon Entertainment"
"Insurgent","NeoReel"
"The Aviator","Miramax Films"
