title,genre
"Indiana Jones and the Kingdom of the Crystal Skull","Adventure"
"Indiana Jones and the Kingdom of the Crystal Skull","Action"
"The Good Dinosaur","Adventure"
"The Good Dinosaur","Animation"
"The Good Dinosaur","Family"
"Brave","Animation"
"Brave","Adventure"
"Brave","Comedy"
"Brave","Family"
"Brave","Action"
"Brave","Fantasy"
"Star Trek Beyond","Action"
"Star Trek Beyond","Adventure"
"Star Trek Beyond","Science Fiction"
"Rush Hour 3","Action"
"Rush Hour 3","Comedy"
"Rush Hour 3","Crime"
"Rush Hour 3","Thriller"
"2012","Action"
"2012","Adventure"
"2012","Science Fiction"
"A Christmas Carol","Animation"
"A Christmas Carol","Drama"
"Jupiter Ascending","Science Fiction"
"Jupiter Ascending","Fantasy"
"Jupiter Ascending","Action"
"Jupiter Ascending","Adventure"
"The Legend of Tarzan","Action"
"The Legend of Tarzan","Adventure"
"The Dark Knight","Drama"
"The Dark Knight","Action"
"The Dark Knight","Crime"
"The Dark Knight","Thriller"
"Up","Animation"
"Up","Comedy"
"Up","Family"
"Up","Adventure"
"Monsters vs Aliens","Animation"
"Monsters vs Aliens","Family"
"Monsters vs Aliens","Adventure"
"Monsters vs Aliens","Science Fiction"
"Iron Man","Action"
"Iron Man","Science Fiction"
"Iron Man","Adventure"
"Hugo","Adventure"
"Hugo","Drama"
"Hugo","Family"
"Wild Wild West","Action"
"Wild Wild West","Adventure"
"Wild Wild West","Comedy"
"Wild Wild West","Science Fiction"
"Wild Wild West","Western"
"Suicide Squad","Action"
"Suicide Squad","Adventure"
"Suicide Squad","Crime"
"Suicide Squad","Fantasy"
"Suicide Squad","Science Fiction"
"Evan Almighty","Fantasy"
"Evan Almighty","Comedy"
"Evan Almighty","Family"
"Edge of Tomorrow","Action"
"Edge of Tomorrow","Science Fiction"
"Waterworld","Adventure"
"Waterworld","Action"
"Inside Out","Drama"
"Inside Out","Comedy"
"Inside Out","Animation"
"Inside Out","Family"
"The Jungle Book","Family"
"The Jungle Book","Adventure"
"The Jungle Book","Drama"
"The Jungle Book","Fantasy"
"Iron Man 2","Adventure"
"Iron Man 2","Action"
"Iron Man 2","Science Fiction"
"Snow White and the Huntsman","Adventure"
"Snow White and the Huntsman","Fantasy"
"Snow White and the Huntsman","Drama"
"Maleficent","Fantasy"
"Maleficent","Adventure"
"Maleficent","Action"
"Maleficent","Family"
"Maleficent","Romance"
"Dawn of the Planet of the Apes","Science Fiction"
"Dawn of the Planet of the Apes","Action"
"Dawn of the Planet of the Apes","Drama"
"Dawn of the Planet of the Apes","Thriller"
"The Lovers","Action"
"The Lovers","Adventure"
"The Lovers","Science Fiction"
"The Lovers","Romance"
"47 Ronin","Drama"
"47 Ronin","Action"
"47 Ronin","Adventure"
"47 Ronin","Fantasy"
"Shrek Forever After","Comedy"
"Shrek Forever After","Adventure"
"Shrek Forever After","Fantasy"
"Shrek Forever After","Animation"
"Shrek Forever After","Family"
"Tomorrowland","Adventure"
"Tomorrowland","Family"
"Tomorrowland","Mystery"
"Tomorrowland","Science Fiction"
"Big Hero 6","Adventure"
"Big Hero 6","Family"
"Big Hero 6","Animation"
"Big Hero 6","Action"
"Big Hero 6","Comedy"
"Wreck-It Ralph","Family"
"Wreck-It Ralph","Animation"
"Wreck-It Ralph","Comedy"
"Wreck-It Ralph","Adventure"
"The Polar Express","Adventure"
"The Polar Express","Animation"
"The Polar Express","Family"
"The Polar Express","Fantasy"
"How to Train Your Dragon","Fantasy"
"How to Train Your Dragon","Adventure"
"How to Train Your Dragon","Animation"
"How to Train Your Dragon","Family"
"Guardians of the Galaxy","Action"
"Guardians of the Galaxy","Science Fiction"
"Guardians of the Galaxy","Adventure"
"Interstellar","Adventure"
"Interstellar","Drama"
"Interstellar","Science Fiction"
"Inception","Action"
"Inception","Thriller"
"Inception","Science Fiction"
"Inception","Mystery"
"Inception","Adventure"
"The Fast and the Furious","Action"
"The Fast and the Furious","Crime"
"The Fast and the Furious","Thriller"
"The Curious Case of Benjamin Button","Fantasy"
"The Curious Case of Benjamin Button","Drama"
"The Curious Case of Benjamin Button","Thriller"
"The Curious Case of Benjamin Button","Mystery"
"The Curious Case of Benjamin Button","Romance"
"The Sorcerer's Apprentice","Fantasy"
"The Sorcerer's Apprentice","Adventure"
"The Sorcerer's Apprentice","Action"
"The Sorcerer's Apprentice","Comedy"
"The Sorcerer's Apprentice","Drama"
"Poseidon","Adventure"
"Poseidon","Action"
"Poseidon","Drama"
"Poseidon","Thriller"
"Alice Through the Looking Glass","Fantasy"
"Shrek the Third","Fantasy"
"Shrek the Third","Adventure"
"Shrek the Third","Animation"
"Shrek the Third","Comedy"
"Shrek the Third","Family"
"Warcraft","Action"
"Warcraft","Adventure"
"Warcraft","Fantasy"
"Terminator Genisys","Science Fiction"
"Terminator Genisys","Action"
"Terminator Genisys","Thriller"
"Terminator Genisys","Adventure"
"Pearl Harbor","History"
"Pearl Harbor","Romance"
"Pearl Harbor","War"
"Transformers","Adventure"
"Transformers","Science Fiction"
"Transformers","Action"
"Alexander","War"
"Alexander","History"
"Alexander","Action"
"Alexander","Adventure"
"Alexander","Drama"
"Alexander","Romance"
"Harry Potter and the Order of the Phoenix","Adventure"
"Harry Potter and the Order of the Phoenix","Fantasy"
"Harry Potter and the Order of the Phoenix","Family"
"Harry Potter and the Order of the Phoenix","Mystery"
"Harry Potter and the Goblet of Fire","Adventure"
"Harry Potter and the Goblet of Fire","Fantasy"
"Harry Potter and the Goblet of Fire","Family"
"Hancock","Fantasy"
"Hancock","Action"
"I Am Legend","Drama"
"I Am Legend","Horror"
"I Am Legend","Action"
"I Am Legend","Thriller"
"I Am Legend","Science Fiction"
"Charlie and the Chocolate Factory","Adventure"
"Charlie and the Chocolate Factory","Comedy"
"Charlie and the Chocolate Factory","Family"
"Charlie and the Chocolate Factory","Fantasy"
"Ratatouille","Animation"
"Ratatouille","Comedy"
"Ratatouille","Family"
"Ratatouille","Fantasy"
"Batman Begins","Action"
"Batman Begins","Crime"
"Batman Begins","Drama"
"The Matrix Revolutions","Adventure"
"The Matrix Revolutions","Action"
"The Matrix Revolutions","Thriller"
"The Matrix Revolutions","Science Fiction"
"Frozen","Animation"
"Frozen","Adventure"
"Frozen","Family"
"The Matrix Reloaded","Adventure"
"The Matrix Reloaded","Action"
"The Matrix Reloaded","Thriller"
"The Matrix Reloaded","Science Fiction"
"Angels & Demons","Thriller"
"Angels & Demons","Mystery"
"Thor","Adventure"
"Thor","Fantasy"
"Thor","Action"
"Bolt","Animation"
"Bolt","Family"
"Bolt","Adventure"
"Bolt","Comedy"
"G-Force","Fantasy"
"G-Force","Action"
"G-Force","Adventure"
"G-Force","Family"
"G-Force","Comedy"
"Wrath of the Titans","Adventure"
"Dark Shadows","Comedy"
"Dark Shadows","Fantasy"
"The Wolfman","Drama"
"The Wolfman","Horror"
"The Wolfman","Thriller"
"Bee Movie","Family"
"Bee Movie","Animation"
"Bee Movie","Adventure"
"Bee Movie","Comedy"
"Kung Fu Panda 2","Animation"
"Kung Fu Panda 2","Family"
"The Last Airbender","Action"
"The Last Airbender","Adventure"
"The Last Airbender","Family"
"The Last Airbender","Fantasy"
"White House Down","Action"
"White House Down","Drama"
"White House Down","Thriller"
"Mars Needs Moms","Adventure"
"Mars Needs Moms","Animation"
"Mars Needs Moms","Family"
"Flushed Away","Adventure"
"Flushed Away","Animation"
"Flushed Away","Comedy"
"Flushed Away","Family"
"Pan","Adventure"
"Pan","Family"
"Pan","Fantasy"
"Mr. Peabody & Sherman","Animation"
"Mr. Peabody & Sherman","Adventure"
"Mr. Peabody & Sherman","Family"
"Troy","Adventure"
"Troy","Drama"
"Troy","War"
"Die Another Day","Adventure"
"Die Another Day","Action"
"Die Another Day","Thriller"
"Ghostbusters","Action"
"Ghostbusters","Fantasy"
"Ghostbusters","Comedy"
"Armageddon","Action"
"Armageddon","Thriller"
"Armageddon","Science Fiction"
"Armageddon","Adventure"
"Men in Black II","Action"
"Men in Black II","Adventure"
"Men in Black II","Comedy"
"Men in Black II","Science Fiction"
"Beowulf","Adventure"
"Beowulf","Action"
"Beowulf","Animation"
"Kung Fu Panda 3","Action"
"Kung Fu Panda 3","Adventure"
"Kung Fu Panda 3","Animation"
"Kung Fu Panda 3","Comedy"
"Kung Fu Panda 3","Family"
"Rise of the Guardians","Fantasy"
"Rise of the Guardians","Animation"
"Rise of the Guardians","Family"
"Fun with Dick and Jane","Comedy"
"The Last Samurai","Drama"
"The Last Samurai","Action"
"The Last Samurai","War"
"The Last Samurai","History"
"Star Trek","Science Fiction"
"Star Trek","Action"
"Star Trek","Adventure"
"Spider-Man","Fantasy"
"Spider-Man","Action"
"How to Train Your Dragon 2","Fantasy"
"How to Train Your Dragon 2","Action"
"How to Train Your Dragon 2","Adventure"
"How to Train Your Dragon 2","Animation"
"How to Train Your Dragon 2","Comedy"
"How to Train Your Dragon 2","Family"
"Gods of Egypt","Fantasy"
"Stealth","Action"
"Watchmen","Action"
"Watchmen","Mystery"
"Watchmen","Science Fiction"
"Lethal Weapon 4","Action"
"Lethal Weapon 4","Adventure"
"Lethal Weapon 4","Comedy"
"Lethal Weapon 4","Crime"
"Lethal Weapon 4","Thriller"
"Hulk","Drama"
"Hulk","Action"
"Hulk","Science Fiction"
"Sahara","Action"
"Sahara","Adventure"
"Sahara","Comedy"
"Sahara","Drama"
"Sahara","Mystery"
"The World Is Not Enough","Adventure"
"The World Is Not Enough","Action"
"The World Is Not Enough","Thriller"
"Happy Feet Two","Animation"
"Happy Feet Two","Comedy"
"Happy Feet Two","Family"
"The Incredible Hulk","Science Fiction"
"The Incredible Hulk","Action"
"The Incredible Hulk","Adventure"
"The BFG","Adventure"
"The BFG","Family"
"The BFG","Fantasy"
"The Revenant","Western"
"The Revenant","Drama"
"The Revenant","Adventure"
"The Revenant","Thriller"
"Turbo","Animation"
"Turbo","Family"
"Rango","Animation"
"Rango","Comedy"
"Rango","Family"
"Rango","Western"
"Rango","Adventure"
"Penguins of Madagascar","Family"
"Penguins of Madagascar","Animation"
"Penguins of Madagascar","Adventure"
"Penguins of Madagascar","Comedy"
"The Bourne Ultimatum","Action"
"The Bourne Ultimatum","Drama"
"The Bourne Ultimatum","Mystery"
"The Bourne Ultimatum","Thriller"
"Kung Fu Panda","Adventure"
"Kung Fu Panda","Animation"
"Kung Fu Panda","Family"
"Kung Fu Panda","Comedy"
"Ant-Man","Science Fiction"
"Ant-Man","Action"
"Ant-Man","Adventure"
"Home","Fantasy"
"Home","Comedy"
"Home","Animation"
"Home","Science Fiction"
"Home","Family"
"War of the Worlds","Adventure"
"War of the Worlds","Thriller"
"War of the Worlds","Science Fiction"
"Bad Boys II","Adventure"
"Bad Boys II","Action"
"Bad Boys II","Comedy"
"Bad Boys II","Thriller"
"Bad Boys II","Crime"
"Puss in Boots","Action"
"Puss in Boots","Adventure"
"Puss in Boots","Animation"
"Puss in Boots","Family"
"Puss in Boots","Fantasy"
"Salt","Action"
"Salt","Mystery"
"Salt","Thriller"
"Noah","Drama"
"Noah","Adventure"
"The Adventures of Tintin","Adventure"
"The Adventures of Tintin","Animation"
"The Adventures of Tintin","Mystery"
"Harry Potter and the Prisoner of Azkaban","Adventure"
"Harry Potter and the Prisoner of Azkaban","Fantasy"
"Harry Potter and the Prisoner of Azkaban","Family"
"Australia","Drama"
"After Earth","Science Fiction"
"After Earth","Action"
"After Earth","Adventure"
"Dinosaur","Animation"
"Dinosaur","Family"
"Megamind","Animation"
"Megamind","Action"
"Megamind","Comedy"
"Megamind","Family"
"Megamind","Science Fiction"
"Harry Potter and the Philosopher's Stone","Adventure"
"Harry Potter and the Philosopher's Stone","Fantasy"
"Harry Potter and the Philosopher's Stone","Family"
"R.I.P.D.","Fantasy"
"R.I.P.D.","Action"
"R.I.P.D.","Comedy"
"R.I.P.D.","Crime"
"The Da Vinci Code","Thriller"
"The Da Vinci Code","Mystery"
"Rio 2","Animation"
"Rio 2","Adventure"
"Rio 2","Comedy"
"Rio 2","Family"
"X2","Adventure"
"X2","Action"
"X2","Science Fiction"
"X2","Thriller"
"Fast Five","Action"
"Fast Five","Thriller"
"Fast Five","Crime"
"Clash of the Titans","Adventure"
"Clash of the Titans","Fantasy"
"Clash of the Titans","Action"
"Total Recall","Action"
"Total Recall","Adventure"
"Total Recall","Science Fiction"
"The 13th Warrior","Adventure"
"The 13th Warrior","Fantasy"
"The 13th Warrior","Action"
"The Bourne Legacy","Action"
"The Bourne Legacy","Thriller"
"Batman & Robin","Action"
"Batman & Robin","Crime"
"Batman & Robin","Fantasy"
"How the Grinch Stole Christmas","Family"
"How the Grinch Stole Christmas","Comedy"
"How the Grinch Stole Christmas","Fantasy"
"The Day After Tomorrow","Action"
"The Day After Tomorrow","Adventure"
"The Day After Tomorrow","Science Fiction"
"The Day After Tomorrow","Thriller"
"The Perfect Storm","Drama"
"Life of Pi","Adventure"
"Life of Pi","Drama"
"Life of Pi","Action"
"Ghost Rider","Thriller"
"Ghost Rider","Action"
"Ghost Rider","Fantasy"
"Ghost Rider","Horror"
"Jason Bourne","Action"
"Jason Bourne","Thriller"
"Prometheus","Science Fiction"
"Prometheus","Adventure"
"Prometheus","Mystery"
"Stuart Little 2","Family"
"Stuart Little 2","Adventure"
"Stuart Little 2","Animation"
"Stuart Little 2","Comedy"
"Elysium","Science Fiction"
"Elysium","Action"
"Elysium","Drama"
"Elysium","Thriller"
"The Chronicles of Riddick","Action"
"The Chronicles of Riddick","Science Fiction"
"RoboCop","Action"
"RoboCop","Science Fiction"
"Speed Racer","Action"
"Speed Racer","Family"
"Speed Racer","Science Fiction"
"How Do You Know","Comedy"
"How Do You Know","Drama"
"How Do You Know","Romance"
"Knight and Day","Action"
"Knight and Day","Comedy"
"Oblivion","Action"
"Oblivion","Science Fiction"
"Oblivion","Adventure"
"Oblivion","Mystery"
"Monsters, Inc.","Animation"
"Monsters, Inc.","Comedy"
"Monsters, Inc.","Family"
"The Wolverine","Action"
"The Wolverine","Science Fiction"
"The Wolverine","Adventure"
"The Wolverine","Fantasy"
"The Croods","Adventure"
"The Croods","Animation"
"The Croods","Comedy"
"The Croods","Family"
"The Croods","Fantasy"
"Windtalkers","Drama"
"Windtalkers","Action"
"Windtalkers","History"
"Windtalkers","War"
"Teenage Mutant Ninja Turtles","Science Fiction"
"Teenage Mutant Ninja Turtles","Action"
"Teenage Mutant Ninja Turtles","Adventure"
"Teenage Mutant Ninja Turtles","Fantasy"
"Teenage Mutant Ninja Turtles","Comedy"
"Gravity","Science Fiction"
"Gravity","Thriller"
"Gravity","Drama"
"Dante's Peak","Action"
"Dante's Peak","Adventure"
"Dante's Peak","Thriller"
"Fantastic Four","Action"
"Fantastic Four","Adventure"
"Fantastic Four","Science Fiction"
"Night at the Museum","Action"
"Night at the Museum","Adventure"
"Night at the Museum","Comedy"
"Night at the Museum","Family"
"Night at the Museum","Fantasy"
"San Andreas","Action"
"San Andreas","Drama"
"San Andreas","Thriller"
"Tomorrow Never Dies","Adventure"
"Tomorrow Never Dies","Action"
"Tomorrow Never Dies","Thriller"
"The Patriot","Drama"
"The Patriot","History"
"The Patriot","War"
"The Patriot","Action"
"Ocean's Twelve","Thriller"
"Ocean's Twelve","Crime"
"Mr. & Mrs. Smith","Action"
"Mr. & Mrs. Smith","Comedy"
"Mr. & Mrs. Smith","Drama"
"Mr. & Mrs. Smith","Thriller"
"Insurgent","Adventure"
"Insurgent","Science Fiction"
"Insurgent","Thriller"
"The Aviator","Drama"
"Gulliver's Travels","Comedy"
"The Green Hornet","Action"
"The Green Hornet","Crime"
"The Green Hornet","Comedy"
"The Smurfs","Animation"
"The Smurfs","Family"
"The Smurfs","Adventure"
"The Smurfs","Comedy"
"The Smurfs","Fantasy"
"Home on the Range","Animation"
"Home on the Range","Family"
"Allegiant","Adventure"
"Allegiant","Science Fiction"
"Real Steel","Action"
"Real Steel","Science Fiction"
"Real Steel","Drama"
"The Smurfs 2","Fantasy"
"The Smurfs 2","Family"
"The Smurfs 2","Comedy"
"The Smurfs 2","Animation"
"Ender's Game","Science Fiction"
"Ender's Game","Action"
"Ender's Game","Adventure"
"Live Free or Die Hard","Action"
"Live Free or Die Hard","Thriller"
"Around the World in 80 Days","Action"
"Around the World in 80 Days","Adventure"
"Around the World in 80 Days","Comedy"
"Ali","Drama"
"The Cat in the Hat","Comedy"
"The Cat in the Hat","Fantasy"
"The Cat in the Hat","Family"
"I, Robot","Action"
"I, Robot","Science Fiction"
"Kingdom of Heaven","Drama"
"Kingdom of Heaven","Action"
"Kingdom of Heaven","Adventure"
"Kingdom of Heaven","History"
"Kingdom of Heaven","War"
"Stuart Little","Animation"
"Stuart Little","Fantasy"
"Stuart Little","Family"
"Stuart Little","Comedy"
"The Princess and the Frog","Romance"
"The Princess and the Frog","Family"
"The Princess and the Frog","Animation"
"The Princess and the Frog","Music"
"The Martian","Drama"
"The Martian","Adventure"
"The Martian","Science Fiction"
"The Island","Action"
"The Island","Thriller"
"The Island","Science Fiction"
"The Island","Adventure"
"Town & Country","Comedy"
"Town & Country","Romance"
"Gone in Sixty Seconds","Action"
"Gone in Sixty Seconds","Crime"
"Gone in Sixty Seconds","Thriller"
"Gladiator","Action"
"Gladiator","Drama"
"Gladiator","Adventure"
"Minority Report","Action"
"Minority Report","Thriller"
"Minority Report","Science Fiction"
"Minority Report","Mystery"
"Harry Potter and the Chamber of Secrets","Adventure"
"Harry Potter and the Chamber of Secrets","Fantasy"
"Harry Potter and the Chamber of Secrets","Family"
"Casino Royale","Adventure"
"Casino Royale","Action"
"Casino Royale","Thriller"
"Planet of the Apes","Thriller"
"Planet of the Apes","Science Fiction"
"Planet of the Apes","Action"
"Planet of the Apes","Adventure"
"Public Enemies","History"
"Public Enemies","Crime"
"Public Enemies","Drama"
"American Gangster","Drama"
"American Gangster","Crime"
"True Lies","Action"
"True Lies","Thriller"
"The Taking of Pelham 1 2 3","Thriller"
"The Taking of Pelham 1 2 3","Drama"
"The Taking of Pelham 1 2 3","Crime"
"Little Fockers","Comedy"
"Little Fockers","Romance"
"The Other Guys","Action"
"The Other Guys","Comedy"
"The Other Guys","Crime"
"Eraser","Action"
"Eraser","Drama"
"Eraser","Mystery"
"Eraser","Thriller"
"Django Unchained","Drama"
"Django Unchained","Western"
"The Hunchback of Notre Dame","Drama"
"The Hunchback of Notre Dame","Animation"
"The Hunchback of Notre Dame","Family"
"The Emperor's New Groove","Adventure"
"The Emperor's New Groove","Animation"
"The Emperor's New Groove","Comedy"
"The Emperor's New Groove","Family"
"The Emperor's New Groove","Fantasy"
"The Expendables 2","Action"
"The Expendables 2","Adventure"
"The Expendables 2","Thriller"
"National Treasure","Adventure"
"National Treasure","Action"
"National Treasure","Thriller"
"National Treasure","Mystery"
"Eragon","Fantasy"
"Eragon","Action"
"Eragon","Adventure"
"Eragon","Family"
"Where the Wild Things Are","Family"
"Where the Wild Things Are","Fantasy"
"Epic","Animation"
"Epic","Adventure"
"Epic","Family"
"Epic","Fantasy"
"The Tourist","Action"
"The Tourist","Thriller"
"The Tourist","Romance"
"End of Days","Action"
"End of Days","Fantasy"
"End of Days","Horror"
"End of Days","Mystery"
"Blood Diamond","Drama"
"Blood Diamond","Thriller"
"Blood Diamond","Action"
"The Wolf of Wall Street","Crime"
"The Wolf of Wall Street","Drama"
"The Wolf of Wall Street","Comedy"
"Batman Forever","Action"
"Batman Forever","Crime"
"Batman Forever","Fantasy"
"Starship Troopers","Adventure"
"Starship Troopers","Action"
"Starship Troopers","Thriller"
"Starship Troopers","Science Fiction"
"Cloud Atlas","Drama"
"Cloud Atlas","Science Fiction"
"Catwoman","Action"
"Catwoman","Crime"
"Hercules","Action"
"Hercules","Adventure"
"Treasure Planet","Adventure"
"Treasure Planet","Animation"
"Treasure Planet","Family"
"Treasure Planet","Fantasy"
"Treasure Planet","Science Fiction"
"Land of the Lost","Adventure"
"Land of the Lost","Comedy"
"Land of the Lost","Science Fiction"
"The Expendables 3","Action"
"The Expendables 3","Adventure"
"The Expendables 3","Thriller"
"Point Break","Action"
"Point Break","Crime"
"Point Break","Thriller"
"Son of the Mask","Fantasy"
"Son of the Mask","Comedy"
"Son of the Mask","Family"
"Son of the Mask","Adventure"
"In the Heart of the Sea","Thriller"
"In the Heart of the Sea","Drama"
"In the Heart of the Sea","Adventure"
"In the Heart of the Sea","Action"
"In the Heart of the Sea","History"
"The Adventures of Pluto Nash","Action"
"The Adventures of Pluto Nash","Comedy"
"The Adventures of Pluto Nash","Science Fiction"
"Green Zone","War"
"Green Zone","Action"
"Green Zone","Adventure"
"Green Zone","Drama"
"Green Zone","Thriller"
"The Peanuts Movie","Animation"
"The Spanish Prisoner","Crime"
"The Spanish Prisoner","Drama"
"The Spanish Prisoner","Mystery"
"The Spanish Prisoner","Thriller"
"The Mummy Returns","Adventure"
"The Mummy Returns","Action"
"The Mummy Returns","Fantasy"
"Gangs of New York","Drama"
"Gangs of New York","History"
"Gangs of New York","Crime"
"Surf's Up","Animation"
"Surf's Up","Comedy"
"Surf's Up","Family"
"The Stepford Wives","Action"
"The Stepford Wives","Comedy"
"The Stepford Wives","Science Fiction"
"Black Hawk Down","Action"
"Black Hawk Down","History"
"Black Hawk Down","War"
"The Campaign","Comedy"
"The Fifth Element","Adventure"
"The Fifth Element","Fantasy"
"The Fifth Element","Action"
"The Fifth Element","Thriller"
"The Fifth Element","Science Fiction"
"Sex and the City 2","Comedy"
"Sex and the City 2","Drama"
"Sex and the City 2","Romance"
"The Road to El Dorado","Adventure"
"The Road to El Dorado","Animation"
"The Road to El Dorado","Comedy"
"The Road to El Dorado","Family"
"Cinderella","Romance"
"Cinderella","Fantasy"
"Cinderella","Family"
"Cinderella","Drama"
"The Lovely Bones","Fantasy"
"The Lovely Bones","Drama"
"Finding Nemo","Animation"
"Finding Nemo","Family"
"Seventh Son","Adventure"
"Seventh Son","Fantasy"
"Transcendence","Thriller"
"Transcendence","Science Fiction"
"Transcendence","Drama"
"Transcendence","Mystery"
"Jurassic Park III","Adventure"
"Jurassic Park III","Action"
"Jurassic Park III","Thriller"
"Jurassic Park III","Science Fiction"
"Rise of the Planet of the Apes","Thriller"
"Rise of the Planet of the Apes","Action"
"Rise of the Planet of the Apes","Drama"
"Rise of the Planet of the Apes","Science Fiction"
"The Spiderwick Chronicles","Adventure"
"The Spiderwick Chronicles","Family"
"The Spiderwick Chronicles","Fantasy"
"A Good Day to Die Hard","Action"
"A Good Day to Die Hard","Thriller"
"The Alamo","Western"
"The Alamo","History"
"The Alamo","War"
"The Incredibles","Action"
"The Incredibles","Adventure"
"The Incredibles","Animation"
"The Incredibles","Family"
"Cutthroat Island","Action"
"Cutthroat Island","Adventure"
"Men in Black","Action"
"Men in Black","Adventure"
"Men in Black","Comedy"
"Men in Black","Science Fiction"
"Toy Story 2","Animation"
"Toy Story 2","Comedy"
"Toy Story 2","Family"
"Unstoppable","Action"
"Unstoppable","Thriller"
"Rush Hour 2","Action"
"Rush Hour 2","Comedy"
"Rush Hour 2","Crime"
"Rush Hour 2","Thriller"
"What Lies Beneath","Drama"
"What Lies Beneath","Horror"
"What Lies Beneath","Mystery"
"What Lies Beneath","Thriller"
"Cloudy with a Chance of Meatballs","Animation"
"Cloudy with a Chance of Meatballs","Comedy"
"Cloudy with a Chance of Meatballs","Family"
"The Secret Life of Walter Mitty","Adventure"
"The Secret Life of Walter Mitty","Comedy"
"The Secret Life of Walter Mitty","Drama"
"The Secret Life of Walter Mitty","Fantasy"
"Charlie's Angels","Action"
"Charlie's Angels","Adventure"
"Charlie's Angels","Comedy"
"Charlie's Angels","Crime"
"Charlie's Angels","Thriller"
"The Departed","Drama"
"The Departed","Thriller"
"The Departed","Crime"
"Mulan","Animation"
"Mulan","Family"
"Mulan","Adventure"
"Tropic Thunder","Action"
"Tropic Thunder","Comedy"
"The Girl with the Dragon Tattoo","Thriller"
"The Girl with the Dragon Tattoo","Crime"
"The Girl with the Dragon Tattoo","Mystery"
"The Girl with the Dragon Tattoo","Drama"
"Sherlock Holmes","Action"
"Sherlock Holmes","Adventure"
"Sherlock Holmes","Crime"
"Sherlock Holmes","Mystery"
"Ben-Hur","Drama"
"Valkyrie","Drama"
"Valkyrie","Thriller"
"Valkyrie","History"
"Valkyrie","War"
"You Don't Mess with the Zohan","Comedy"
"You Don't Mess with the Zohan","Action"
"Pixels","Action"
"Pixels","Comedy"
"Pixels","Science Fiction"
"A.I. Artificial Intelligence","Drama"
"A.I. Artificial Intelligence","Science Fiction"
